abbreviation	description	formula	subsystem	ecnumber	keggId	keggorthology	cog	seed	metanetx
ABO3g	Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase	fuc12gal14acglcgalgluside_hs[g] + udpgal[g] -> galfuc12gal14acglcgalgluside_hs[g] + h[g] + udp[g] 	Blood group synthesis						MNXR95172
ABO4g	Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase	fuc12gal14acglcgalgluside_hs[g] + udpacgal[g] -> acgalfuc12gal14acglcgalgluside_hs[g] + h[g] + udp[g] 	Blood group synthesis						MNXR95174
ABO5g	Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase	fucgalacgalfuc12gal14acglcgalgluside_hs[g] + udpacgal[g] -> acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g] + h[g] + udp[g] 	Blood group synthesis						MNXR95176
ABO6g	Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase	fucgalacglcgal14acglcgalgluside_hs[g] + udpacgal[g] -> acgalfucgalacglcgal14acglcgalgluside_hs[g] + h[g] + udp[g] 	Blood group synthesis						MNXR95178
ABO7g	Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase	fucgalacgalfucgalacglcgal14acglcgalgluside_hs[g] + udpacgal[g] -> acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g] + h[g] + udp[g] 	Blood group synthesis						MNXR95180
ABO8g	Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase	fucgalacglcgal14acglcgalgluside_hs[g] + udpgal[g] -> galfucgalacglcgal14acglcgalgluside_hs[g] + h[g] + udp[g] 	Blood group synthesis						MNXR95182
ABO9g	Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase	fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g] + 2.0 udpgal[g] -> galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g] + 2.0 h[g] + 2.0 udp[g] 	Blood group synthesis						MNXR95184
ABTArm	4-Aminobutyrate Transaminase, Reversible, Mitochondrial	4abut[m] + akg[m] <=> glu_L[m] + sucsal[m] 	Glutamate metabolism	2.6.1.19	R01648				MNXR95186
ABTD	L-Arabinitol 4-Dehydrogenase	abt[c] + nad[c] <=> h[c] + nadh[c] + xylu_L[c] 	Pentose phosphate pathway	1.1.1.12	R01903				MNXR95187
ABTti	L-Arabinitol Transport via Passive Diffusion	abt[c] -> abt[e] 	Transport, extracellular	1.1.1.12					
ABUTt2rL	4-Aminobutyrate Reversible Transport in via Proton Symport, Lysosomal	4abut[l] + h[l] <=> 4abut[c] + h[c] 	Transport, lysosomal						MNXR94994
ABUTt4_2_r	4-Aminobutyrate Reversible Transport in via Sodium Symport (1:2)	4abut[e] + 2.0 na1[e] <=> 4abut[c] + 2.0 na1[c] 	Transport, extracellular						
ACACT10m	Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial	2maacoa[m] + coa[m] <=> accoa[m] + ppcoa[m] 	Valine, leucine, and isoleucine metabolism	2.3.1.16, 2.3.1.9	R00927				MNXR95195
ACACT1rm	Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial	2.0 accoa[m] -> aacoa[m] + coa[m] 	Tryptophan metabolism	2.3.1.9					
ACACT1x	Acetyl Coenzyme A C-Acetyltransferase	2.0 accoa[x] -> aacoa[x] + coa[x] 	Cholesterol metabolism	2.3.1.9	R00238				MNXR95194
ACACt2m	Acetoacetate Mitochondrial Transport via H+ Symport	acac[c] + h[c] <=> acac[m] + h[m] 	Transport, mitochondrial						MNXR95207
ACACT4p	Acetyl Coenzyme A C-Acetyltransferase (Octanoyl Coenzyme A), Peroxisomal	3odcoa[x] + coa[x] -> accoa[x] + occoa[x] 	Fatty acid oxidation	2.3.1.16, 2.3.1.9	R03778				MNXR95198
ACACT5p	Acetyl Coenzyme A C-Acyltransferase (Decanoyl Coenzyme A), Peroxisomal	3oddcoa[x] + coa[x] -> accoa[x] + dcacoa[x] 	Fatty acid oxidation	2.3.1.9					MNXR95199
ACACT6p	Acetyl Coenzyme A C-Acetyltransferase (Dodecanoyl), Peroxisomal	3otdcoa[x] + coa[x] -> accoa[x] + ddcacoa[x] 	Fatty acid oxidation	2.3.1.16, 2.3.1.9	R03858				MNXR95201
ACACT7p	Acetyl Coenzyme A Acyltransferase (Tetradecanoyl Coenzyme A), Peroxisomal	3ohdcoa[x] + coa[x] -> accoa[x] + tdcoa[x] 	Fatty acid oxidation	2.3.1.155, 2.3.1.16, 2.3.1.9	R03991				MNXR95203
ACACT8p	Acetyl Coenzyme A Acyltransferase (Hexadecanoyl Coenzyme A), Peroxisomal	3ohodcoa[x] + coa[x] -> accoa[x] + pmtcoa[x] 	Fatty acid oxidation						MNXR95204
ACACT9p	Acetyl Coenzyme A Acyltransferase (Tetracosanoyl Coenzyme A), Peroxisomal	3ohxccoa[x] + coa[x] -> accoa[x] + ttccoa[x] 	Fatty acid oxidation						MNXR95205
ACACtx	Acetoacetate Intracellular Transport Unknown Mechanism	acac[c] <=> acac[x] 	Transport, peroxisomal						MNXR95208
ACALDtm	Acetaldehyde Mitochondrial Diffusion	acald[m] <=> acald[c] 	Transport, mitochondrial						MNXR95212
ACALDtr	Acetaldehyde Reversible Transport, Endoplasmatic Reticulum	acald[r] <=> acald[c] 	Transport, endoplasmic reticular						MNXR95212
ACALDtx	Acetaldehyde Peroxisomal Diffusion	acald[x] <=> acald[c] 	Transport, peroxisomal						MNXR95212
ACCOACm	Acetyl Coenzyme A Carboxylase, Beta Isoform	accoa[m] + atp[m] + hco3[m] -> adp[m] + h[m] + malcoa[m] + pi[m]	Fatty acid oxidation	6.4.1.2					
ACCOAgt	Acetyl Coenzyme A Transport	accoa[c] <=> accoa[g] 	Transport, extracellular						MNXR95223
ACCOALm	Acetate Coenzyme A Ligase (AMP-Forming)	atp[m] + coa[m] + ppa[m] -> amp[m] + ppcoa[m] + ppi[m] 	Propanoate metabolism	6.2.1.17					MNXR95222
ACCOAtn	Acetyl Coenzyme A Transport, Nuclear	accoa[c] <=> accoa[n] 	Transport, nuclear						MNXR95223
ACCOAtr	Acetyl Coenzyme A Transport	accoa[c] <=> accoa[r] 	Transport, endoplasmic reticular						MNXR95223
ACETONEt2	Acetone Transport via Proton Symport	acetone[e] + h[e] <=> acetone[c] + h[c] 	Transport, extracellular						MNXR95230
ACETONEt2m	Acetone Mitochondrial Transport via Proton Symport	acetone[c] + h[c] <=> acetone[m] + h[m] 	Transport, mitochondrial						MNXR95230
ACGAGBSIDEtg	Acgagbside Hs Intracellular Transport	acgagbside_hs[c] <=> acgagbside_hs[g] 	Transport, golgi apparatus						MNXR95231
ACGAGBSIDEtl	Acgagbside Hs Intracellular Transport	acgagbside_hs[c] <=> acgagbside_hs[l] 	Transport, lysosomal						MNXR95231
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte	Blood Group Intracellular Transport	acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e] <=> acgalfucgalacgalfuc12gal14acglcgalgluside_hs[c] 	Transport, extracellular						MNXR95237
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg	Blood Group Intracellular Transport	acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g] <=> acgalfucgalacgalfuc12gal14acglcgalgluside_hs[c] 	Transport, golgi apparatus						MNXR95237
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	Blood Group Intracellular Transport	acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e] <=> acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[c] 	Transport, extracellular						MNXR95239
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	Blood Group Intracellular Transport	acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g] <=> acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[c] 	Transport, golgi apparatus						MNXR95239
ACGALK	N-Acetylgalactosamine Kinase	acgal[c] + atp[c] -> acgal1p[c] + adp[c] + h[c] 	Aminosugar metabolism	2.7.1.157, 2.7.1.162	R08967				MNXR95241
ACGALK2	N-Acetylgalactosamine Kinase (ITP)	acgal[c] + itp[c] -> acgal1p[c] + h[c] + idp[c] 	Aminosugar metabolism						MNXR95242
ACGALtlg	N-Acetyl-Galactosamine Intracellular Transport	acgal[g] <=> acgal[c] 	Transport, golgi apparatus						MNXR95244
ACGALtly	N-Acetyl-Galactosamine Lysosomal Efflux	acgal[l] -> acgal[c] 	Transport, lysosomal						MNXR95244
ACGAM6PSi	N-Acetylglucosamine-6-Phosphate Synthase	accoa[c] + gam6p[c] -> acgam6p[c] + coa[c] + h[c] 	Aminosugar metabolism	2.3.1.4				rxn01483	MNXR81464
ACGAMK	N-Acetylglucosamine Kinase	acgam[c] + atp[c] -> acgam6p[c] + adp[c] + h[c] 	Aminosugar metabolism	2.7.1.59	R01201	K00884	COG2829	rxn00892	MNXR95249
ACGAMPM	Phosphoacetylglucosamine Mutase	acgam6p[c] <=> acgam1p[c] 	Aminosugar metabolism	5.4.2.3		K01836	COG1109	rxn01505	MNXR95250
ACGAMtly	N-Acetyl-Glucosamine Lysosomal Efflux	acgam[l] -> acgam[c] 	Transport, lysosomal						MNXR95252
ACGBGBSIDEtg	Acgbgbside Hs Intracellular Transport	acgbgbside_hs[c] <=> acgbgbside_hs[g] 	Transport, golgi apparatus						MNXR95254
ACGBGBSIDEtl	Acgbgbside Hs Intracellular Transport	acgbgbside_hs[c] <=> acgbgbside_hs[l] 	Transport, lysosomal						MNXR95254
ACGPID	N-Acetylglucosaminylphosphatidylinositol Deacetylase	acgpail_hs[c] + h2o[c] -> ac[c] + gpail_hs[c] 	Phosphatidylinositol phosphate metabolism	3.5.1.89	R03482				MNXR95257
ACGSm	N-Acteylglutamate Synthase, Mitochondrial	accoa[m] + glu_L[m] -> acglu[m] + coa[m] + h[m] 	Urea cycle	2.3.1.1	R00259				MNXR95259
ACHEe	Acetylcholinesterase	ach[e] + h2o[e] -> ac[e] + chol[e] + h[e] 	Glycerophospholipid metabolism	3.1.1.7, 3.1.1.8	R01026				MNXR95261
ACHtn	Acetylcholin Transport, Nuclear through Pores	ach[n] <=> ach[c] 	Transport, nuclear						MNXR95267
ACHVESSEC	Acetylcholine Secretion via Secretory Vesicle (ATP Driven)	ach[c] + atp[c] + h2o[c] -> ach[e] + adp[c] + h[c] + pi[c] 	Transport, extracellular						
ACITL	ATP-Citrate Lyase	atp[c] + cit[c] + coa[c] -> accoa[c] + adp[c] + oaa[c] + pi[c] 	Citric acid cycle	2.3.3.8, 4.1.3.6	R00352			rxn00257	MNXR95268
ACN13ACNGALGBSIDEte	Acn13Acngalgbside Hs Transport	acn13acngalgbside_hs[c] <=> acn13acngalgbside_hs[e] 	Transport, extracellular						MNXR95280
ACN13ACNGALGBSIDEtg	Acn13Acngalgbside Hs Intracellular Transport	acn13acngalgbside_hs[c] <=> acn13acngalgbside_hs[g] 	Transport, golgi apparatus						MNXR95280
ACN23ACNGALGBSIDEte	Acn23Acngalgbside Transport	acn23acngalgbside_hs[c] <=> acn23acngalgbside_hs[e] 	Transport, extracellular						MNXR95282
ACN23ACNGALGBSIDEtg	Acn23Acngalgbside Intracellular Transport	acn23acngalgbside_hs[c] <=> acn23acngalgbside_hs[g] 	Transport, golgi apparatus						MNXR95282
ACNACNGAL14ACGLCGALGLUSIDEte	Blood Group Intracellular Transport	acnacngal14acglcgalgluside_hs[e] <=> acnacngal14acglcgalgluside_hs[c] 	Transport, extracellular						MNXR95284
ACNACNGAL14ACGLCGALGLUSIDEtg	Blood Group Intracellular Transport	acnacngal14acglcgalgluside_hs[g] <=> acnacngal14acglcgalgluside_hs[c] 	Transport, golgi apparatus						MNXR95284
ACNACNGALGBSIDEte	Acnacngalgbside Hs Transport	acnacngalgbside_hs[c] <=> acnacngalgbside_hs[e] 	Transport, extracellular						MNXR95286
ACNACNGALGBSIDEtg	Acnacngalgbside Hs Intracellular Transport	acnacngalgbside_hs[c] <=> acnacngalgbside_hs[g] 	Transport, golgi apparatus						MNXR95286
ACNAM9PL	N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating)	acmanap[c] + h2o[c] + pep[c] -> acnamp[c] + pi[c] 	Aminosugar metabolism	2.5.1.57					MNXR95288
ACNAM9PL2	N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating)	h2o[c] + man6p[c] + pep[c] -> kdnp[c] + pi[c] 	Aminosugar metabolism						MNXR95289
ACNAMlt	N-Acetylneuraminate Transport into Lysososme	acnam[c] + h[c] <=> acnam[l] + h[l] 	Transport, lysosomal						MNXR95291
ACNAMPH	N-Acetylneuraminate 9-Phosphate Phosphohydrolase	acnamp[c] + h2o[c] -> acnam[c] + pi[c] 	Aminosugar metabolism	3.1.3.29					MNXR95290
ACNAMtn	N-Acetylneuraminate Nuclear Import	acnam[c] -> acnam[n] 	Transport, nuclear						MNXR95292
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	Blood Group Intracellular Transport	acngalacglcgal14acglcgalgluside_hs[e] <=> acngalacglcgal14acglcgalgluside_hs[c] 	Transport, extracellular						MNXR95293
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	Blood Group Intracellular Transport	acngalacglcgal14acglcgalgluside_hs[g] <=> acngalacglcgal14acglcgalgluside_hs[c] 	Transport, golgi apparatus						MNXR95293
ACNMLr	N-Acetylneuraminate Lyase (Reversible)	acnam[c] <=> acmana[c] + pyr[c] 	Aminosugar metabolism	4.1.3.3					
ACOAD10m	Acyl Coenzyme A Dehydrogenase (2-Methylbutanoyl Coenzyme A), Mitochondrial	2mbcoa[m] + fad[m] -> 2mb2coa[m] + fadh2[m] 	Valine, leucine, and isoleucine metabolism	1.3.99.3					MNXR95306
ACOAD1fm	Acyl Coenzyme A Dehydrogenase (Butanoyl Coenzyme A), Mitochondrial	btcoa[m] + fad[m] -> b2coa[m] + fadh2[m] 	Butanoate metabolism	1.3.3.6, 1.3.8.1, 1.3.8.7, 1.3.99.-, 1.3.99.3	R01175				MNXR95302
ACOAD8m	Acyl Coenzyme A Dehydrogenase (Isovaleryl Coenzyme A), Mitochondrial	fad[m] + ivcoa[m] -> 3mb2coa[m] + fadh2[m] 	Valine, leucine, and isoleucine metabolism	1.3.8.4, 1.3.8.7, 1.3.99.10	R04095				MNXR95318
ACOAD9m	Acyl Coenzyme A Dehydrogenase (Isobutyryl Coenzyme A), Mitochondrial	fad[m] + ibcoa[m] -> 2mp2coa[m] + fadh2[m] 	Valine, leucine, and isoleucine metabolism	1.3.8.-, 1.3.99.3					MNXR95319
ACOAHi	Acetyl Coenzyme A Hydrolase	accoa[c] + h2o[c] -> ac[c] + coa[c] + h[c] 	Pyruvate metabolism	3.1.2.1					
ACOAO7p	Acyl Coenzyme A Oxidase (Hexadecanoyl Coenzyme A), Peroxisomal	o2[x] + pmtcoa[x] -> h2o2[x] + hdd2coa[x] 	Fatty acid oxidation						MNXR95367
ACODA	Acetylornithine Deacetylase	acorn[c] + h2o[c] -> ac[c] + orn[c] 	Urea cycle	3.5.1.14, 3.5.1.16	R00669				MNXR95377
ACONTm	Aconitate Hydratase	cit[m] <=> icit[m] 	Citric acid cycle	4.2.1.3	R01324				MNXR95384
ACOX22x	Acyl-Coenzyme A Oxidase 2, Branched Chain	dhcholoylcoa[x] + fadh2[x] + 0.5 o2[x] -> fad[x] + thcholoylcoa[x] 	Bile acid synthesis						MNXR95389
ACOX2x	Acyl-Coenzyme A Oxidase 2, Branched Chain	cholcoas[x] + fadh2[x] + o2[x] -> cholcoads[x] + fad[x] + 2.0 h2o[x] 	Bile acid synthesis						MNXR95390
ACP1_FMN_	Acid Phosphatase (FMN)	fmn[c] + h2o[c] -> pi[c] + ribflv[c] 	Vitamin B2 metabolism	3.1.3.2				rxn00391	MNXR68280
ACRNtm	O-Acetylcarnintine Transport into Mitochondria via Diffusion	acrn[c] <=> acrn[m] 	Transport, mitochondrial						MNXR95412
ACS2	Acetyl Coenzyme A Synthase (Propionate)	atp[c] + coa[c] + ppa[c] -> amp[c] + ppcoa[c] + ppi[c] 	Propanoate metabolism	6.2.1.17				rxn00674	MNXR95222
ACSm	Acetyl Coenzyme A Synthetase	ac[m] + atp[m] + coa[m] -> accoa[m] + amp[m] + ppi[m] 	Glycolysis/gluconeogenesis	6.2.1.1	R00235				MNXR95413
ACSOMT	S-Adenosyl-L-Methionine:N-Acetylserotonin O-Methyltransferase	5hoxindoa[c] + amet[c] -> 5moxact[c] + ahcys[c] + h[c] 	Tryptophan metabolism	2.1.1.4					
ACSRTNMT	S-Adenosyl-L-Homocysteine:N-Acetylserotonin O-Methyltransferase	amet[c] + Nacsertn[c] -> ahcys[c] + h[c] + melatn[c] 	Tryptophan metabolism	2.1.1.4					MNXR95418
ACt2m	Acetate Mitochondrial Transport via Proton Symport	ac[c] + h[c] <=> ac[m] + h[m] 	Transport, mitochondrial						MNXR95429
ACt2r	Acetate Reversible Transport via Proton Symport	ac[e] + h[e] <=> ac[c] + h[c] 	Transport, extracellular					rxn05488	MNXR95429
ACtg	Acetate Transport, Golgi Apparatus	ac[c] <=> ac[g] 	Transport, golgi apparatus						MNXR95431
ACTLMO	Acetol Monooxygenase	acetol[c] + h[c] + nadph[c] + o2[c] -> 2.0 h2o[c] + mthgxl[c] + nadp[c] 	Pyruvate metabolism						MNXR95422
ACTNMO	Acetone Monooxygenase	acetone[c] + h[c] + nadph[c] + o2[c] -> acetol[c] + h2o[c] + nadp[c] 	Pyruvate metabolism						MNXR95423
ADA	Adenosine Deaminase	adn[c] + h[c] + h2o[c] -> ins[c] + nh4[c] 	Purine catabolism	3.5.4.4	R01560	K01488	COG1816	rxn01137	MNXR95432
ADAe	Adenosine Deaminase, Extracellular	adn[e] + h[e] + h2o[e] -> ins[e] + nh4[e] 	Purine catabolism	3.5.4.4	R01560				MNXR95432
ADCim	Acetoacetate Decarboxylation (Irreversible), Mitochondrial	acac[m] + h[m] -> acetone[m] + co2[m] 	Propanoate metabolism	4.1.1.4	R01366				MNXR95442
ADEt	Adenine Reversible Transport, Cytosol	ade[e] <=> ade[c] 	Transport, extracellular						MNXR95445
ADEtl	Adenine Faciliated Transport from Lysosome	ade[l] <=> ade[c] 	Transport, lysosomal						
ADHAPtx	Intracellular Transport, Peroxisomal	adhap_hs[c] <=> adhap_hs[x] 	Transport, peroxisomal						
ADK1m	Adenylate Kinase, Mitochondrial	amp[m] + atp[m] <=> 2.0 adp[m] 	Nucleotide interconversion	2.7.4.3	R00127				MNXR95450
ADK3	Adentylate Kinase (GTP)	amp[c] + gtp[c] <=> adp[c] + gdp[c] 	Nucleotide interconversion	2.7.4.10, 2.7.4.4					MNXR95452
ADK3m	Adentylate Kinase (GTP)	amp[m] + gtp[m] <=> adp[m] + gdp[m] 	Nucleotide interconversion	2.7.4.10, 2.7.4.4					MNXR95452
ADKd	Adenylate Kinase (D Form)	damp[c] + datp[c] <=> 2.0 dadp[c] 	Nucleotide interconversion						MNXR95454
ADMDC	Adenosylmethionine Decarboxylase	amet[c] + h[c] -> ametam[c] + co2[c] 	Arginine and proline metabolism	4.1.1.50	R00178				MNXR95455
ADNCYC	Adenylate Cyclase	atp[c] -> camp[c] + ppi[c] 	Nucleotide interconversion	4.6.1.1	R00089	K01768 K05851 K05873 K08041 K08042 K08043 K08044 K08045 K08046 K08047 K08048 K08049 K11029 K11265	COG2114 COG3072 COG1437	rxn00065	MNXR95444
ADNK1m	Adenosine Kinase, Mitochondrial	adn[m] + atp[m] -> adp[m] + amp[m] + h[m] 	Nucleotide interconversion	2.7.1.20, 2.7.1.74	R00185				MNXR95456
ADNt	Adenosine Faciliated Transport in Cytosol	adn[e] <=> adn[c] 	Transport, extracellular						MNXR95460
ADNt4	Adenosine Transport (Na/Adn Symport)	adn[e] + na1[e] -> adn[c] + na1[c] 	Transport, extracellular						MNXR95462
ADNtl	Adenosine Faciliated Transport from Lysosome	adn[l] <=> adn[c] 	Transport, lysosomal						MNXR95460
ADNtm	Adenosine Faciliated Transport in Mitochondria	adn[c] <=> adn[m] 	Transport, mitochondrial						MNXR95460
ADPGLC	ADPglucose Diphosphatase	adpglc[c] + h2o[c] -> amp[c] + g1p[c] + 2.0 h[c] 	Nucleotide interconversion	3.6.1.21					
ADPMAN	ADPmannose Diphosphatase	adpman[c] + h2o[c] -> amp[c] + 2.0 h[c] + man1p[c] 	Nucleotide interconversion	3.6.1.21					MNXR95479
ADPRDPm	ADPribose Diphosphatase, Mitochondrial	adprib[m] + h2o[m] -> amp[m] + 2.0 h[m] + r5p[m] 	Nucleotide interconversion	3.6.1.13					
ADPRIBt	ADPribose Transport	adprib[e] -> adprib[c] 	Transport, extracellular						MNXR95481
ADPtx	ADP Transporter, Peroxisomal	adp[c] <=> adp[x] 	Transport, peroxisomal						MNXR95484
ADRNCOAtx	Fatty Acid Intracellular Transport	adrncoa[c] <=> adrncoa[x] 	Transport, peroxisomal						MNXR95485
ADRNCPT1	Carnitine O-Palmitoyltransferase	adrncoa[c] + crn[c] <=> adrncrn[c] + coa[c] 	Fatty acid oxidation						MNXR95486
ADRNCPT2	Carnitine Transferase	adrncrn[m] + coa[m] <=> adrncoa[m] + crn[m] 	Fatty acid oxidation						MNXR95486
ADRNCRNt	Transport into the Mitochondria (Carnitine)	adrncrn[c] <=> adrncrn[m] 	Fatty acid oxidation						MNXR95487
ADRNLPVESSEC	Adrenaline Secretion via Secretory Vesicle (ATP Driven)	adrnl[c] + atp[c] + h2o[c] -> adp[c] + adrnl[e] + h[c] + pi[c] 	Transport, extracellular						
ADRNt	Fatty Acid Transport via Diffusion	adrn[e] <=> adrn[c] 	Transport, extracellular						MNXR95490
ADSELK	Adenylyl-Selenate Kinase	adsel[c] + atp[c] -> 3padsel[c] + adp[c] + h[c] 	Selenoamino acid metabolism	2.7.1.25				rxn03372	MNXR68294
ADSK	Adenylyl-Sulfate Kinase	aps[c] + atp[c] -> adp[c] + h[c] + paps[c] 	Nucleotide interconversion	2.7.1.25	R00509	K00860 K00955 K13811	COG2895 COG0529	rxn00361	MNXR95159
ADSL1	Adenylosuccinate Lyase	dcamp[c] -> amp[c] + fum[c] 	Nucleotide interconversion	4.3.2.2					
ADSL2	Adenylosuccinate Lyase	25aics[c] -> aicar[c] + fum[c] 	Purine synthesis	4.3.2.2					
AFLATOXINte	Transport of Xenobiotic	aflatoxin[e] <=> aflatoxin[c] 	Transport, extracellular						MNXR95503
AG13T10g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre18[g] + uacgam[g] -> h[g] + ksi_pre19[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AG13T11g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre21[g] + uacgam[g] -> h[g] + ksi_pre22[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AG13T12g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre24[g] + uacgam[g] -> h[g] + ksi_pre25[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AG13T13g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre27[g] + uacgam[g] -> h[g] + ksi_pre28[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AG13T14g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre30[g] + uacgam[g] -> h[g] + ksi_pre31[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AG13T15g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre33[g] + uacgam[g] -> h[g] + ksi_pre34[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AG13T16g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksii_core4_pre2[g] + uacgam[g] -> h[g] + ksii_core4_pre3[g] + udp[g] 	Keratan sulfate synthesis						MNXR95512
AG13T17g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksii_core4_pre4[g] + uacgam[g] -> h[g] + ksii_core4_pre5[g] + udp[g] 	Keratan sulfate synthesis						MNXR95513
AG13T18g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksii_core4_pre7[g] + uacgam[g] -> h[g] + ksii_core4_pre8[g] + udp[g] 	Keratan sulfate synthesis						MNXR95514
AG13T1g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksii_core2_pre2[g] + uacgam[g] -> h[g] + ksii_core2_pre3[g] + udp[g] 	Keratan sulfate synthesis						MNXR95515
AG13T2g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksii_core2_pre4[g] + uacgam[g] -> h[g] + ksii_core2_pre5[g] + udp[g] 	Keratan sulfate synthesis						MNXR95516
AG13T3g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksii_core2_pre7[g] + uacgam[g] -> h[g] + ksii_core2_pre8[g] + udp[g] 	Keratan sulfate synthesis						MNXR95517
AG13T4g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre1[g] + uacgam[g] -> h[g] + ksi_pre2[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AG13T5g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre3[g] + uacgam[g] -> h[g] + ksi_pre4[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AG13T6g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre6[g] + uacgam[g] -> h[g] + ksi_pre7[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AG13T7g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre9[g] + uacgam[g] -> h[g] + ksi_pre10[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AG13T8g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre12[g] + uacgam[g] -> h[g] + ksi_pre13[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AG13T9g	N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus	ksi_pre15[g] + uacgam[g] -> h[g] + ksi_pre16[g] + udp[g] 	Keratan sulfate synthesis	2.4.1.149					
AGLPC	Alkyl Acylglycerol Phosphocholine Transferase	ak2g_hs[c] + cdpchol[c] -> ak2gchol_hs[c] + cmp[c] + h[c] + h2o[c] 	Glycerophospholipid metabolism	3.5.1.25					
AGLPED	Alkyl Acyl Glycerophosphoethanolamine Desaturase	ak2gpe_hs[c] + h[c] + nadph[c] + o2[c] -> dak2gpe_hs[c] + 2.0 h2o[c] + nadp[c] 	Glycerophospholipid metabolism						
AGLPET	Alkyl Acylglycerol Phosphoethanolamine Transferase	ak2g_hs[c] + cdpea[c] + h[c] -> ak2gpe_hs[c] + cmp[c] + h2o[c] 	Glycerophospholipid metabolism						
AGLPH	Alkyl Glycerol Phosphate Hydrolase	ak2gp_hs[c] + h2o[c] -> ak2g_hs[c] + pi[c] 	Glycerophospholipid metabolism						
