abbreviation,addedBy,biggId,charge,chargedFormula,cheBlId,cheBlId2,description,ehmnId,fullName,hepatonetId,hmdb,inchiString,keggId,lastModified,lmId,met_id,miriam,modifiedBy,neutralFormula,pdmapName,pubChemId,reconMap,smile,synonyms,url
atp,,,-4,C10H12N5O13P3,CHEBI:15422,,"Human Metabolome Database (HMDB): Adenosine triphosphate (ATP) is a nucleotide consisting of a purine base (adenine) attached to the first carbon atom of ribose (a pentose sugar). Three phosphate groups are esterified at the fifth carbon atom of the ribose. ATP is incorporated into nucleic acids by polymerases in the processes of DNA replication and transcription. ATP contributes to cellular energy charge and participates in overall energy balance, maintaining cellular homeostasis. ATP can act as an extracellular signaling molecule via interactions with specific purinergic receptors to mediate a wide variety of processes as diverse as neurotransmission, inflammation, apoptosis, and bone remodelling. Extracellular ATP and its metabolite adenosine have also been shown to exert a variety of effects on nearly every cell type in human skin, and ATP seems to play a direct role in triggering skin inflammatory, regenerative, and fibrotic responses to mechanical injury, an indirect role in melanocyte proliferation and apoptosis, and a complex role in Langerhans cell-directed adaptive immunity. During exercise, intracellular homeostasis depends on the matching of adenosine triphosphate (ATP) supply and ATP demand. Metabolites play a useful role in communicating the extent of ATP demand to the metabolic supply pathways. Effects as different as proliferation or differentiation, chemotaxis, release of cytokines or lysosomal constituents, and generation of reactive oxygen or nitrogen species are elicited upon stimulation of blood cells with extracellular ATP. The increased concentration of adenosine triphosphate (ATP) in erythrocytes from patients with chronic renal failure (CRF) has been observed in many studies but the mechanism leading to these abnormalities still is controversial. (PMID: 15490415, 15129319, 14707763, 14696970, 11157473).",,ATP,,HMDB00538,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/p-4/t4-,6-,7-,10-/m1/s1",C00002,2016-12-05T15:48:03Z,,23,,,,ATP,5957,atp,,"5'-(Tetrahydrogen triphosphate) Adenosine, 5'-ATP, Adenosine 5'-triphosphate, Adenosine 5'-triphosphorate, Adenosine 5'-triphosphoric acid, Adenosine triphosphate, Adenylpyrophosphorate, Adenylpyrophosphoric acid, Adephos, Adetol, Adynol, Atipi, ATP, Atriphos, Cardenosine, Fosfobion, Glucobasin, Myotriphos, Phosphobion, Striadyne, Triadenyl, Triphosphaden, Triphosphoric acid adenosine ester",http://vmh.uni.lu/_api/metabolites/23/?format=pcsv
adp,,,-3,C10H12N5O10P2,CHEBI:16761,,"Human Metabolome Database (HMDB): Adenosine diphosphate, abbreviated ADP, is a nucleotide. It is an ester of pyrophosphoric acid with the nucleotide adenine. ADP consists of the pyrophosphate group, the pentose sugar ribose, and the nucleobase adenine. ADP is the product of ATP dephosphorylation by ATPases. ADP is converted back to ATP by ATP synthases.",,ADP,,HMDB01341,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",C00008,2016-12-05T15:48:03Z,,24,,,,ADP,6022,adp,,"Adenosindiphosphorsaeure, Adenosine 5'-pyrophosphate, Adenosine diphosphate, Adenosine pyrophosphate, Adenosine-5'-diphosphate, Adenosine-5-diphosphate, Adenosine-diphosphate, ADP",http://vmh.uni.lu/_api/metabolites/24/?format=pcsv
pi,,,-2,HO4P,CHEBI:18367,,hydrogenphosphate,,hydrogenphosphate,,,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2",C00009,2016-11-22T15:11:43Z,,25,,,,phosphate(3-),1004,pi,,,http://vmh.uni.lu/_api/metabolites/25/?format=pcsv
1pipdn2c,,,0,C6H9NO2,CHEBI:30912,,"Human Metabolome Database (HMDB): delta 1-Piperidine-2-carboxylic acid (P2C), an intermediate of the L-lysine metabolic pathway in the brain; the uptake of P2C into the synaptosome of the cerebral cortex was Na+ and temperature-dependent (PMID 7654748 ).",,1-piperideine-2-carboxylate,,HMDB01084,"InChI=1S/C6H9NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H2,(H,8,9)",C04092,2016-12-05T15:48:03Z,,26,,,,,,1pipdn2c,,"1,2-Didehydropiperidine-2-carboxylate, delta(1)-Piperideine-2-carboxylate, Delta1-piperideine-2-carboxylate",http://vmh.uni.lu/_api/metabolites/26/?format=pcsv
nadh,,,-2,C21H27N7O14P2,CHEBI:16908,,"Human Metabolome Database (HMDB): NADH is the reduced form of NAD+, and NAD+ is the oxidized form of NADH, A coenzyme composed of ribosylnicotinamide 5'-diphosphate coupled to adenosine 5'-phosphate by pyrophosphate linkage. It is found widely in nature and is involved in numerous enzymatic reactions in which it serves as an electron carrier by being alternately oxidized (NAD+) and reduced (NADH). It forms NADP with the addition of a phosphate group to the 2' position of the adenosyl nucleotide through an ester linkage.(Dorland, 27th ed).",,Nicotinamide adenine dinucleotide - reduced,,HMDB01487,"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/p-2/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",C00004,2016-12-05T15:48:03Z,,27,,,,NADH,439153,nadh,,"1,4-Dihydronicotinamide adenine dinucleotide, b-DPNH, b-NADH, beta-DPNH, beta-NADH, Dihydrocodehydrogenase I, Dihydrocozymase, Dihydronicotinamide adenine dinucleotide, Dihydronicotinamide mononucleotide, DPNH, ENADA, NADH, NADH2, Reduced codehydrogenase I, Reduced diphosphopyridine nucleotide, Reduced nicotinamide adenine diphosphate, Reduced nicotinamide-adenine dinucleotide",http://vmh.uni.lu/_api/metabolites/27/?format=pcsv
Lpipecol,,,0,C6H11NO2,CHEBI:30633,,"Human Metabolome Database (HMDB): L-Pipecolic acid is a normal human metabolite present in human blood, where is present as the primary enantiomer of pipecolic acid. L-Pipecolic acid is a cyclic imino acid produced during the degradation of lysine, accumulates in body fluids of infants with generalized genetic peroxisomal disorders, including Zellweger syndrome (OMIM 214100), neonatal adrenoleukodystrophy (OMIM 202370), and infantile Refsum disease (OMIM 266510). L-Pipecolic acid levels are also elevated in patients with chronic liver diseases. L-Pipecolic acid is the substrate of delta1-piperideine-2-carboxylate reductase [EC 1.5.1.21] in the pathway of lysine degradation. (PMID: 2717271, 8305590, 1050990).",,L-pipecolic acid,,HMDB00716,"InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)/t5-/m0/s1",C00408,2016-12-05T15:48:03Z,,28,,,,,439227,Lpipecol,,"(-)-Pipecolate, (-)-Pipecolic acid, (S)-(-)-2-Piperidinecarboxylate, (S)-(-)-2-Piperidinecarboxylic acid, (S)-(-)-Pipecolate, (S)-(-)-Pipecolic acid, (S)-2-Piperidinecarboxylate, (S)-2-Piperidinecarboxylic acid, (S)-Pipecolate, (S)-Pipecolic acid, (S)-Pipecolinate, (S)-Pipecolinic acid, (S)-Piperidine-2-carboxylate, (S)-Piperidine-2-carboxylic acid, L-(-)-Pipecolate, L-(-)-Pipecolic acid, L-Homoproline, L-Pipecolate, L-Pipecolic acid, L-Pipecolinate, L-Pipecolinic acid, L-Piperidine-2-carboxylate, L-Piperidine-2-carboxylic acid",http://vmh.uni.lu/_api/metabolites/28/?format=pcsv
nad,,,-1,C21H26N7O14P2,CHEBI:15846,,"Human Metabolome Database (HMDB): NAD (or Nicotinamide adenine dinucleotide) is used extensively in glycolysis and the citric acid cycle of cellular respiration. The reducing potential stored in NADH can be converted to ATP through the electron transport chain or used for anabolic metabolism. ATP ""energy"" is necessary for an organism to live. Green plants obtain ATP through photosynthesis, while other organisms obtain it by cellular respiration. (wikipedia). Nicotinamide adenine dinucleotide is a A coenzyme composed of ribosylnicotinamide 5'-diphosphate coupled to adenosine 5'-phosphate by pyrophosphate linkage. It is found widely in nature and is involved in numerous enzymatic reactions in which it serves as an electron carrier by being alternately oxidized (NAD+) and reduced (NADH). (Dorland, 27th ed).",,Nicotinamide adenine dinucleotide,,HMDB00902,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p-1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",C00003,2016-12-05T15:48:03Z,,29,,,,NAD(+);NAD+,5893,nad,,"3-Carbamoyl-1-beta-D-ribofuranosylpyridinium hydroxide 5'-ester with adenosine 5'-pyrophosphate inner salt, 3-Carbamoyl-1-beta-delta-ribofuranosylpyridinium hydroxide 5'-ester with adenosine 5'-pyrophosphate inner salt, 3-Carbamoyl-1-D-ribofuranosylpyridinium hydroxide 5'-ester with adenosine 5'-pyrophosphate, 3-Carbamoyl-1-delta-ribofuranosylpyridinium hydroxide 5'-ester with adenosine 5'-pyrophosphate, Adenine-nicotinamide dinucleotide, beta-Diphosphopyridine nucleotide, beta-NAD, beta-Nicotinamide adenine dinucleotide, beta-Nicotinamide adenine dinucleotide trihydrate, CO-I, Codehydrase I, Codehydrogenase I, Coenzyme I, Cozymase, Cozymase I, Diphosphopyridine nucleotide, Diphosphopyridine nucleotide oxidized, Endopride, NAD trihydrate, NAD-oxidized, Nicotinamide adenine dinucleotide, Nicotinamide adenine dinucleotide oxidized, Nicotinamide dinucleotide, Nicotineamide adenine dinucleotide, Oxidized diphosphopyridine nucleotide, Pyridine nucleotide diphosphate, [(3S,2R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl {[(3S,2R,4R,5R)-5-(3-carbamoylpyridyl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxyphosphoryl) hydrogen phosphate, [adenylate-32-P]-NAD",http://vmh.uni.lu/_api/metabolites/29/?format=pcsv
25hvitd2,,,0,C28H44O2,,,"Human Metabolome Database (HMDB): 9,10-Secoergosta-5,7,10(19),22-tetraene-3,25-diol. Biologically active metabolite of vitamin D2 which is more active in curing rickets than its parent. The compound is believed to attach to the same receptor as vitamin D2 and 25-hydroxyvitamin D3.",,25-Hydroxyvitamin D2,,HMDB01438,"InChI=1/C28H44O2/c1-19-10-14-24(29)18-23(19)13-12-22-8-7-17-28(6)25(15-16-26(22)28)20(2)9-11-21(3)27(4,5)30/h9,11-13,20-21,24-26,29-30H,1,7-8,10,14-18H2,2-6H3/b11-9+,22-12+,23-13-/t20-,21+,24+,25?,26+,28-/m1/s1",,2016-12-05T15:48:03Z,,30,,,,,,25hvitd2,,"25-Hydroxycalciferol, 25-Hydroxyergocalciferol, 25-Hydroxyvitamin D, 9,10-Secoergosta-5,7,10(19),22-tetraene-3b,25-diol, Ercalcidiol",http://vmh.uni.lu/_api/metabolites/30/?format=pcsv
25hvitd3,,,0,C27H44O2,CHEBI:17933,,"Human Metabolome Database (HMDB): The major circulating metabolite of vitamin D3 (calciferon). It is produced in the liver and is the best indicator of the body's vitamin D stores. It is effective in the treatment of rickets and osteomalacia, both in azotemic and non-azotemic patients. Calcifediol also has mineralizing properties.",,calcidiol,,HMDB03550,"InChI=1S/C27H44O2/c1-19-10-13-23(28)18-22(19)12-11-21-9-7-17-27(5)24(14-15-25(21)27)20(2)8-6-16-26(3,4)29/h11-12,20,23-25,28-29H,1,6-10,13-18H2,2-5H3/b21-11+,22-12-/t20-,23+,24-,25+,27-/m1/s1",C01561,2016-12-05T15:48:03Z,,31,,,,,,25hvitd3,,"25-Hydroxy-cholecalciferol, 25-Hydroxycholecalciferol, 25-Hydroxyvitamin D3, 5,6-cis-25-Hydroxyvitamin D3, 9,10-Secocholesta-5,7,10(19)-triene-3b,25-diol, Calcidiol, Calcifediol, Calcifediol anhydrous, Calderol, Didrogyl, Hidroferol",http://vmh.uni.lu/_api/metabolites/31/?format=pcsv
24nph,,,0,C6H5NO4,CHEBI:16318,,"Human Metabolome Database (HMDB): 4-Nitrocatechol is the by-product of the hydroxylation of 4-Nitrophenol by the human cytochrome P450 (CYP) 2E1. This reaction is a useful metabolic marker for the presence of functional cytochrome P450 2E1 in mammalian cell microsomes. Hepatic and extrahepatic microsomal cytochrome P450 isozymes further catalyze the reduction of p-nitrocatechol to p-aminophenol. (PMID: 8267647, 8214571, 8267647).",,2-hydroxy-4-nitrophenolate,,HMDB02916,"InChI=1S/C6H5NO4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H",C02235,2016-12-05T15:48:03Z,,32,,,,,,24nph,,"1,2-Dihydroxy-4-nitrobenzene, 3,4-Dihydroxy-1-nitrobenzene, 3,4-Dihydroxynitrobenzene, 4-Nitro-1,2-benzenediol, 4-Nitro-1,2-dihydroxybenzene, 4-Nitro-Pyrocatechol4-Nitropyrocatechol NSC 80651, 4-Nitrobenzcatechin, p-Nitrocatechol",http://vmh.uni.lu/_api/metabolites/32/?format=pcsv
2amac,,,0,C3H5NO2,CHEBI:17123,,2-aminoacrylic acid,,2-aminoacrylic acid,,,"InChI=1S/C3H5NO2/c1-2(4)3(5)6/h1,4H2,(H,5,6)",C02218,2016-11-22T15:11:43Z,,33,,,,,,2amac,,,http://vmh.uni.lu/_api/metabolites/33/?format=pcsv
pyr,,,-1,C3H3O3,CHEBI:32816,,"Human Metabolome Database (HMDB): Pyruvic acid is an intermediate compound in the metabolism of carbohydrates, proteins, and fats. In thiamine deficiency, its oxidation is retarded and it accumulates in the tissues, especially in nervous structures. (From Stedman, 26th ed.) Biological Source: Intermediate in primary metabolism including fermentation processes. Present in muscle in redox equilibrium with Lactic acid. A common constituent, as a chiral cyclic acetal linked to saccharide residues, of bacterial polysaccharides. Isolated from cane sugar fermentation broth and peppermint. Constituent of Bauhinia purpurea, Cicer arietinum (chickpea), Delonix regia, Pisum sativum (pea) and Trigonella caerulea (sweet trefoil) Use/Importance: Reagent for regeneration of carbonyl compdounds from semicarbazones, phenylhydrazones and oximes. Flavoring ingredient (Dictionary of Organic Compounds).",,pyruvate,,HMDB00243,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1",C00022,2016-12-05T15:48:03Z,,34,,,,,1060,pyr,,"2-Oxopropanoate, 2-Oxopropanoic acid, 2-Oxopropionate, 2-Oxopropionic acid, a-Ketopropionate, a-Ketopropionic acid, Acetylformate, Acetylformic acid, alpha-Ketopropionate, alpha-Ketopropionic acid, BTS, Pyroracemate, Pyroracemic acid, Pyruvate",http://vmh.uni.lu/_api/metabolites/34/?format=pcsv
paps,,,-4,C10H11N5O13P2S,CHEBI:17980,,"Human Metabolome Database (HMDB): 3'-Phosphoadenosine-5'-phosphosulfate. Key intermediate in the formation by living cells of sulfate esters of phenols, alcohols, steroids, sulfated polysaccharides, and simple esters, such as choline sulfate. It is formed from sulfate ion and ATP in a two-step process. This compound also is an important step in the process of sulfur fixation in plants and microorganisms.",,"(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate",,HMDB01134,"InChI=1S/C10H15N5O13P2S/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7(27-29(17,18)19)4(26-10)1-25-30(20,21)28-31(22,23)24/h2-4,6-7,10,16H,1H2,(H,20,21)(H2,11,12,13)(H2,17,18,19)(H,22,23,24)/p-4/t4-,6-,7-,10-/m1/s1",C00053,2016-12-05T15:48:04Z,,35,,,,,10214,paps,,"3'-Phospho-5'-adenylyl sulfate, 3'-Phospho-5'-adenylyl sulphate, 3'-Phosphoadenosine 5'-phosphosulfate, 3'-Phosphoadenosine 5'-phosphosulphate, 3'-Phosphoadenosine-5'-phosphosulfate, 3'-Phosphoadenosine-5'-phosphosulphate, 3'-Phosphoadenylyl sulfate, 3'-Phosphoadenylyl sulphate, 3'-Phosphoadenylyl-sulfate, 3'-Phosphoadenylyl-sulphate, 5-Phosphoadenosine 3-phosphosulfate, 5-Phosphoadenosine 3-phosphosulphate, PAPS, Phosphoadenosine Phosphosulfate, Phosphoadenosine Phosphosulphate",http://vmh.uni.lu/_api/metabolites/35/?format=pcsv
Lcyst,,,-1,C3H6NO5S,CHEBI:17285,,Human Metabolome Database (HMDB): Cysteic acid is a crystalline amino acid formed in the oxidation of cysteine; it is a precursor of taurine.,,L-cysteate(1-),,HMDB02757,"InChI=1S/C3H7NO5S/c4-2(3(5)6)1-10(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)/p-1/t2-/m0/s1",C57006,2016-12-05T15:48:04Z,,36,,,,,72886,Lcyst,,"2-Amino-3-sulfopropanoate, 2-Amino-3-sulfopropanoic acid, 2-Amino-3-sulfopropionate, 2-Amino-3-sulfopropionic acid, 3-Sulfoalanine, beta-Sulfoalanine, Cepteate, Cepteic acid, Cipteate, Cipteic acid, Cysteate, Cysteinate, Cysteinesulfonate, Cysteinesulfonic acid, Cysteinic acid, Cysterate, Cysteric acid, L-Cysteate, L-Cysteic acid",http://vmh.uni.lu/_api/metabolites/36/?format=pcsv
pap,,,-4,C10H11N5O10P2,CHEBI:17985,,"Human Metabolome Database (HMDB): Adenosine 3', 5'-diphosphate or PAP is a nucleotide that is closely related to ADP. It has two phosphate groups attached to the 5' and 3' positions of the pentose sugar ribose (instead of pyrophosphoric acid at the 5' position, as found in ADP), and the nucleobase adenine. PAP is converted to PAPS by Sulfotransferase and then back to PAP after the sulfotransferase reaction. Sulfotransferase (STs) catalyze the transfer reaction of the sulfate group from the ubiquitous donor 3'-phosphoadenosine 5'-phosphosulfate (PAPS) to an acceptor group of numerous substrates. This reaction, often referred to as sulfuryl transfer, sulfation, or sulfonation, is widely observed from bacteria to humans and plays a key role in various biological processes such as cell communication, growth and development, and defense. PAP also appears to a role in bipolar depression. Phosphatases converting 3'-phosphoadenosine 5'-phosphate (PAP) into adenosine 5'-phosphate are of fundamental importance in living cells as the accumulation of PAP is toxic to several cellular systems. These enzymes are lithium-sensitive and we have characterized a human PAP phosphatase as a potential target of lithium therapy.",,"adenosine 3',5'-bismonophosphate(4-)",,HMDB00061,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7(25-27(20,21)22)4(24-10)1-23-26(17,18)19/h2-4,6-7,10,16H,1H2,(H2,11,12,13)(H2,17,18,19)(H2,20,21,22)/p-4/t4-,6-,7-,10-/m1/s1",C00054,2016-12-05T15:48:04Z,,37,,,,,159296,pap,,"3'-Phosphoryl-AMP, 3,5-ADP, 3,5-Diphosphoadenosine, 3-Phosphoadenosine 5-phosphate, 5-(Dihydrogen phosphate) 3-Adenylate, 5-(Dihydrogen phosphate)3'-Adenylic acid, Adenosine 3',5'-bisphosphate, Adenosine 3,5-bis, Adenosine 3,5-bisphosphate",http://vmh.uni.lu/_api/metabolites/37/?format=pcsv
